60	59	1
122	59	2
185	59	3
247	59	4
309	59	5
371	59	6
433	59	7
495	59	8
557	59	9
619	59	10
682	59	11
745	59	12
809	59	13
874	59	14
933	59	15
60	122	16
122	122	17
185	122	18
247	122	19
309	122	20
371	122	21
433	122	22
495	122	23
557	122	24
619	122	25
682	122	26
745	122	27
809	122	28
874	122	29
933	122	30
60	185	31
122	185	32
185	185	33
247	185	34
309	185	35
371	185	36
433	185	37
495	185	38
557	185	39
619	185	40
682	185	41
745	185	42
809	185	43
874	185	44
933	185	45
60	248	46
122	248	47
185	248	48
247	248	49
309	248	50
371	248	51
433	248	52
495	248	53
557	248	54
619	248	55
682	248	56
745	248	57
809	248	58
874	248	59
933	248	60
60	311	61
122	311	62
185	311	63
247	311	64
309	311	65
371	311	66
433	311	67
495	311	68
557	311	69
619	311	70
682	311	71
745	311	72
809	311	73
874	311	74
933	311	75
60	374	76
122	374	77
185	374	78
247	374	79
309	374	80
371	374	81
433	374	82
495	374	83
557	374	84
619	374	85
682	374	86
745	374	87
809	374	88
874	374	89
933	374	90
60	436	91
122	436	92
185	436	93
247	436	94
309	436	95
371	436	96
433	436	97
495	436	98
557	436	99
619	436	100
682	436	101
745	436	102
809	436	103
874	436	104
933	436	105
60	502	106
122	502	107
185	502	108
247	502	109
309	502	110
371	502	111
433	502	112
495	502	113
557	502	114
619	502	115
682	502	116
745	502	117
809	502	118
874	502	119
933	502	120
