1	0.0	0.0	0.5	0.5	0.0	-0.18
2	0.0	-0.4	0.0	0.4	180.0	0.46
3	0.0	-0.5	0.0	0.5	180.0	0.37
4	0.0	-0.6	-0.6	0.8	225.0	-0.65
5	0.0	-0.8	-1.0	1.3	218.7	0.87
6	0.0	-0.1	-1.9	1.9	183.0	-0.18
7	0.0	0.3	-1.5	1.5	168.7	0.9
8	0.0	0.1	-1.4	1.4	175.9	0.69
9	0.0	0.1	-0.8	0.8	172.9	0.12
10	0.0	-0.3	0.0	0.3	180.0	-0.33
11	0.0	-0.4	0.4	0.6	315.0	-0.73
12	0.0	-0.1	0.2	0.2	333.4	0.19
13	0.0	-0.5	0.2	0.5	291.8	0.09
14	0.0	-0.4	0.5	0.6	321.3	-0.36
15	0.0	-0.1	0.6	0.6	350.5	0.46
16	0.0	-0.5	0.0	0.5	180.0	0.63
17	0.0	-0.9	-0.4	1.0	246.0	-0.39
18	0.0	-1.1	-0.9	1.4	230.7	-0.09
19	0.0	-1.4	-2.0	2.4	215.0	0.32
20	1.0	-1.1	-3.0	3.2	200.1	0.06
21	1.0	-0.9	-3.3	3.4	195.3	-0.15
22	1.0	0.4	-3.5	3.5	173.5	-1.08
23	1.0	1.0	-2.8	3.0	160.3	-0.0
24	0.0	1.0	-2.0	2.2	153.4	-0.32
25	0.0	0.2	-1.0	1.0	168.7	-0.1
26	0.0	0.0	-0.2	0.2	180.0	0.08
27	0.0	-0.3	0.0	0.3	180.0	0.45
28	0.0	-0.3	0.1	0.3	288.4	0.78
29	0.0	0.0	0.1	0.1	0.0	0.21
30	0.0	-0.4	0.2	0.4	296.6	0.33
31	0.0	-0.6	-0.4	0.7	236.3	1.15
32	0.0	-1.5	-0.6	1.6	248.2	-0.27
33	1.0	-2.3	-1.5	2.7	236.9	-0.5
34	1.0	-3.5	-3.1	4.7	228.5	0.44
35	1.0	-2.7	-4.3	5.1	212.1	-0.73
36	1.0	-1.8	-5.3	5.6	198.8	0.2
37	1.0	1.4	-5.1	5.3	164.6	0.54
38	1.0	2.2	-3.6	4.2	148.6	0.3
39	1.0	2.0	-2.7	3.4	143.5	-0.14
40	0.0	0.8	-1.5	1.7	151.9	0.4
41	0.0	0.4	-0.5	0.6	141.3	1.05
42	0.0	0.0	-0.1	0.1	180.0	0.18
43	0.0	-0.1	0.0	0.1	180.0	-0.15
44	0.0	-0.5	0.0	0.5	180.0	-0.24
45	0.0	-0.4	0.0	0.4	180.0	0.27
46	0.0	-1.4	-0.6	1.5	246.8	1.04
47	0.0	-2.2	-0.8	2.3	250.0	-0.24
48	1.0	-4.2	-1.5	4.5	250.3	-0.62
49	1.0	-6.6	-2.4	7.0	250.0	-0.66
50	1.0	-4.7	-3.4	5.8	234.1	0.23
51	1.0	-2.4	-3.5	4.2	214.4	-0.07
