60	60	1
122	60	2
186	60	3
247	60	4
309	60	5
371	60	6
433	60	7
495	60	8
557	60	9
620	60	10
682	60	11
745	60	12
810	60	13
874	60	14
933	60	15
60	123	16
122	123	17
186	123	18
247	123	19
309	123	20
371	123	21
433	123	22
495	123	23
557	123	24
620	123	25
682	123	26
745	123	27
810	123	28
874	123	29
933	123	30
60	185	31
122	185	32
186	185	33
247	185	34
309	185	35
371	185	36
433	185	37
495	185	38
557	185	39
620	185	40
682	185	41
745	185	42
810	185	43
874	185	44
933	185	45
60	249	46
122	249	47
186	249	48
247	249	49
309	249	50
371	249	51
433	249	52
495	249	53
557	249	54
620	249	55
682	249	56
745	249	57
810	249	58
874	249	59
933	249	60
60	311	61
122	311	62
186	311	63
247	311	64
309	311	65
371	311	66
433	311	67
495	311	68
557	311	69
620	311	70
682	311	71
745	311	72
810	311	73
874	311	74
933	311	75
60	375	76
122	375	77
186	375	78
247	375	79
309	375	80
371	375	81
433	375	82
495	375	83
557	375	84
620	375	85
682	375	86
745	375	87
810	375	88
874	375	89
933	375	90
60	437	91
122	437	92
186	437	93
247	437	94
309	437	95
371	437	96
433	437	97
495	437	98
557	437	99
620	437	100
682	437	101
745	437	102
810	437	103
874	437	104
933	437	105
60	502	106
122	502	107
186	502	108
247	502	109
309	502	110
371	502	111
433	502	112
495	502	113
557	502	114
620	502	115
682	502	116
745	502	117
810	502	118
874	502	119
933	502	120
